epoch|accuracy|loss|val_accuracy|val_loss
0|0.75233644|1.102120749972691|0.8731343150138855|0.8756702230937445
1|0.88130844|0.710341325541523|0.8731343150138855|0.5724772090342507
2|0.88130844|0.46367359562454935|0.8768656849861145|0.3911452791584072
3|0.88130844|0.34770473141536534|0.8768656849861145|0.3199252388370571
4|0.882243|0.2898908903665632|0.8805969953536987|0.258605396124854
5|0.89252335|0.25261055442774405|0.9216417670249939|0.21018718516648704
6|0.93084115|0.18436966407521863|0.9328358173370361|0.1482500634086666
7|0.95327103|0.1386456497361727|0.9925373196601868|0.09824343492735678
8|0.9635514|0.11315766783239685|0.996268630027771|0.09248194065111787
9|0.97943926|0.08625680731835766|0.9925373196601868|0.04630003041073458
10|0.9878505|0.06040731136486909|0.996268630027771|0.035562292964600804
11|0.9897196|0.04612934373528044|0.996268630027771|0.039505178470220136
12|0.993458|0.04114666022708483|1.0|0.02008861550755465
13|0.9953271|0.03301734366915493|1.0|0.022769710361790745
14|0.99719626|0.025685452918791884|1.0|0.013401406872739543
15|0.99813086|0.022269658544144342|1.0|0.011369629540661378
16|0.99719626|0.020166224157698802|1.0|0.017128687115636334
17|0.99813086|0.01609678824614977|1.0|0.009732443894912948
18|0.99813086|0.017352794948094916|1.0|0.00857372087106776
19|0.99813086|0.011657087244615656|1.0|0.008203567443554527
20|0.99813086|0.011577246709787678|1.0|0.005623540486584404
21|0.99813086|0.011260530804327437|1.0|0.0055884534784995795
22|0.99813086|0.009465498639113992|1.0|0.005653676966121837
23|0.9990654|0.008273256447375098|1.0|0.004402899127731573
24|0.99813086|0.010510603124362843|1.0|0.005575595923991345
25|0.99719626|0.011282559663544748|1.0|0.007015812063047579
26|0.9990654|0.008161778733238718|1.0|0.0037006992923179225
27|0.99813086|0.006373189068529929|1.0|0.006414316188015822
28|0.9990654|0.005841011861252172|1.0|0.0029788798697765414
29|0.9990654|0.005748809742192938|1.0|0.00397950483472156
