epoch|accuracy|loss|val_accuracy|val_loss
0|0.6101469|1.0100814603040311|0.7975077629089355|1.4121412072226265
1|0.85847795|0.711160373544502|0.7943925261497498|1.4569363386088814
2|0.9025367|0.49469779943114767|0.8006230592727661|1.401786149105179
3|0.91455275|0.34197314821671104|0.8006230592727661|1.3482815498874938
4|0.91588783|0.26164306121292674|0.8006230592727661|1.4094066114811883
5|0.91588783|0.2073705079598484|0.8006230592727661|1.5615042392338547
6|0.917223|0.1759465076974301|0.8006230592727661|1.6728288421749697
7|0.9319092|0.14354103451497724|0.8006230592727661|1.731162151443624
8|0.9546061|0.11706555369142219|0.8006230592727661|1.8275858620616878
9|0.9786382|0.09987389398751176|0.8006230592727661|1.9155262682668146
10|0.9786382|0.08493104436806588|0.8006230592727661|2.0470675701664245
11|0.99332446|0.05920105930840539|0.8006230592727661|2.06629144216995
12|0.9919893|0.05486134897037167|0.8006230592727661|2.146038079187506
13|0.9893191|0.04649825204158816|0.8006230592727661|2.2454091236227396
14|0.99465954|0.039246450925621394|0.8006230592727661|2.2142038118802128
15|0.9959947|0.034367667993553015|0.8006230592727661|2.293348257044023
16|0.99465954|0.03683495896561283|0.8006230592727661|2.4254881641203743
17|0.9973298|0.027122417989576132|0.8006230592727661|2.305232272341244
18|0.9959947|0.021173147024594257|0.8006230592727661|2.268009684910284
