epoch|accuracy|loss|val_accuracy|val_loss
0|0.45887852|1.112217390760083|0.4738805890083313|0.9714527592730167
1|0.8280374|0.8638528637796918|0.8805969953536987|0.7551578799290444
2|0.87943923|0.6570308624026931|0.8805969953536987|0.5591056026629547
3|0.87943923|0.5025126488966363|0.8805969953536987|0.44325775886649516
4|0.87943923|0.41180722813739956|0.8805969953536987|0.366973256886895
5|0.87943923|0.34451699474147546|0.8805969953536987|0.2993101086189498
6|0.88691586|0.2988741389501875|0.9216417670249939|0.2547048450405918
7|0.9018692|0.2508942748341605|0.8992537260055542|0.17901331986953964
8|0.9214953|0.19639799789847615|0.996268630027771|0.12769096444791822
9|0.9495327|0.1527944985394166|1.0|0.07906867230116431
10|0.964486|0.12304400156870067|1.0|0.053415873379849675
11|0.97850466|0.09388677044031776|1.0|0.041732780190546125
12|0.988785|0.07524322246279672|1.0|0.025974024309596017
13|0.9915888|0.056063161755555146|1.0|0.02221258451689535
14|0.9943925|0.048341700939513815|1.0|0.014955518906241033
15|0.993458|0.041503125185442864|1.0|0.012740029522509718
16|0.99719626|0.03524700407043239|1.0|0.01166968174111932
17|0.99719626|0.03234871703887654|1.0|0.007442513008171053
18|0.9953271|0.03370603620309696|1.0|0.005730239521545261
19|0.99719626|0.025492829556150415|1.0|0.00650518687108337
20|0.99719626|0.021299239672790064|1.0|0.005461479502438165
21|0.99719626|0.022860802769243162|1.0|0.005106484941415378
22|0.99719626|0.018194257614211503|1.0|0.0050585448060796335
23|0.99813086|0.016679782303763883|1.0|0.00505328202383843
24|0.99626166|0.017904899232785834|1.0|0.003305903114656459
25|0.99719626|0.016176245419012608|1.0|0.00462519105370921
26|0.99813086|0.01250711878953136|1.0|0.0038704348696784966
27|0.99813086|0.010392467362075069|1.0|0.0030420764571806387
28|0.99719626|0.011712078726632852|1.0|0.003901951550158547
29|0.99813086|0.01208489593640666|1.0|0.0020806671523336154
